,open,close,high,low,total_turnover,volume,limit_up,limit_down
2005-01-07,1.3294,1.3359,1.3588,1.3195,1337738.36,782542.0,1.4636,1.1951
2005-01-10,1.3359,1.3555,1.3555,1.3294,793729.8,464268.0,1.4701,1.2017
2005-01-11,1.3588,1.3555,1.3752,1.3359,1266364.0,734400.0,1.4898,1.2213
2005-01-12,1.3457,1.3621,1.3654,1.3424,685087.5,396984.0,1.4898,1.2213
2005-01-13,1.3621,1.3555,1.3621,1.3424,1316834.44,764851.0,1.4996,1.2246
2005-01-14,1.3555,1.3424,1.3686,1.3424,1572684.0,911928.0,1.4898,1.2213
2005-01-17,1.3294,1.2999,1.3392,1.2966,2120867.49,1273810.0,1.4767,1.2082
2005-01-18,1.3261,1.3228,1.3261,1.2999,1409460.18,846269.0,1.4309,1.1689
2005-01-19,1.3228,1.3032,1.3228,1.2999,1102397.16,662160.0,1.4538,1.1918
2005-01-20,1.3064,1.2704,1.3064,1.2639,2501254.0,1540313.0,1.4341,1.1722
2005-01-21,1.2737,1.2966,1.2966,1.2475,2295740.88,1412885.0,1.3981,1.1427
2005-01-24,1.3326,1.313,1.3424,1.3097,3123495.0,1859520.0,1.4276,1.1656
2005-01-25,1.313,1.2933,1.313,1.2802,1678039.87,1021894.0,1.444,1.182
2005-01-26,1.2933,1.277,1.2933,1.2639,2113521.2,1304203.0,1.4243,1.1656
2005-01-27,1.277,1.2606,1.2835,1.254,1233671.68,767693.0,1.4047,1.1493
2005-01-28,1.2639,1.2573,1.277,1.2475,1130046.8,706435.0,1.3883,1.1362
2005-01-31,1.2442,1.1755,1.2442,1.146,3023220.0,2004840.0,1.3817,1.1329
2005-02-01,1.1624,1.1493,1.1853,1.1427,2227599.4,1502424.0,1.2933,1.0576
2005-02-02,1.1624,1.2148,1.218,1.1624,2735559.91,1804903.0,1.2639,1.0347
2005-02-03,1.2475,1.2082,1.2704,1.2082,3159237.7,2019528.0,1.3359,1.0936
2005-02-04,1.1918,1.2148,1.2377,1.1918,2199114.74,1411135.0,1.3294,1.0871
2005-02-16,1.2442,1.2344,1.2573,1.2278,1904772.0,1204680.0,1.3359,1.0936
2005-02-17,1.2344,1.2508,1.254,1.2213,1488980.54,943642.0,1.3588,1.11
2005-02-18,1.2311,1.218,1.2573,1.218,1619806.5,1030421.0,1.3752,1.1263
2005-02-21,1.218,1.2377,1.2475,1.218,1545398.48,979913.0,1.3392,1.0969
2005-02-22,1.2409,1.313,1.3228,1.2377,7510152.93,4578926.0,1.3621,1.1133
2005-02-23,1.3392,1.3294,1.3392,1.2999,11667442.17,6937387.0,1.444,1.182
2005-02-24,1.3195,1.3294,1.3294,1.3064,4412930.18,2628130.0,1.4636,1.1951
2005-02-25,1.3261,1.3163,1.3457,1.313,4708021.24,2783388.0,1.4636,1.1951
2005-02-28,1.313,1.2966,1.313,1.2901,3256336.8,1966800.0,1.4472,1.1853
2005-03-01,1.2966,1.3097,1.3097,1.2835,2212769.5,1341773.0,1.4276,1.1656
2005-03-02,1.3064,1.3064,1.3424,1.2966,5507955.02,3274954.0,1.4407,1.1787
2005-03-03,1.3064,1.313,1.3195,1.2901,1854651.94,1117452.0,1.4374,1.1755
2005-03-04,1.313,1.2868,1.3163,1.2802,1978012.9,1199016.0,1.444,1.182
2005-03-07,1.2933,1.2835,1.313,1.2802,1754352.7,1070808.0,1.4145,1.1591
2005-03-08,1.2933,1.3359,1.3424,1.2933,5760204.1,3428676.0,1.4112,1.1558
2005-03-09,1.3392,1.3555,1.3621,1.3228,7443362.39,4346297.0,1.4701,1.2017
2005-03-10,1.3654,1.3163,1.3654,1.313,4041079.89,2381040.0,1.4898,1.2213
2005-03-11,1.3163,1.3032,1.3261,1.2966,3126384.16,1882771.0,1.4472,1.1853
2005-03-14,1.3032,1.3097,1.3163,1.277,3854316.34,2322235.0,1.4341,1.1722
2005-03-15,1.3097,1.2704,1.3097,1.2671,2970933.08,1816754.0,1.4407,1.1787
2005-03-16,1.2442,1.2409,1.2639,1.218,3228439.08,2047886.0,1.3981,1.1427
2005-03-17,1.2409,1.2148,1.2409,1.2148,2118934.22,1357625.0,1.3654,1.1165
2005-03-18,1.2148,1.182,1.2278,1.1722,2727647.48,1791451.0,1.3359,1.0936
2005-03-21,1.1853,1.2049,1.2115,1.182,1637092.39,1070712.0,1.2999,1.0641
2005-03-22,1.2278,1.1689,1.2278,1.1656,1933676.0,1274640.0,1.3261,1.0838
2005-03-23,1.1624,1.1624,1.1918,1.1525,2067411.93,1388287.0,1.2868,1.051
2005-03-24,1.1624,1.1886,1.1918,1.1624,1336163.85,895030.0,1.2802,1.0478
2005-03-25,1.1951,1.1853,1.1984,1.1755,1174017.7,777768.0,1.3064,1.0707
2005-03-28,1.1853,1.2115,1.2278,1.182,2575519.17,1680401.0,1.3032,1.0674
2005-03-29,1.2278,1.2278,1.2409,1.2115,2939057.52,1890456.0,1.3326,1.0903
2005-03-30,1.2278,1.2409,1.277,1.2049,9743316.06,6141528.0,1.3523,1.1067
2005-03-31,1.2246,1.2246,1.2311,1.1886,3637886.52,2363054.0,1.3654,1.1165
2005-04-01,1.218,1.2704,1.277,1.2049,5542951.71,3482722.0,1.3457,1.1034
2005-04-04,1.2573,1.2475,1.2835,1.2311,3899127.41,2429995.0,1.3981,1.1427
2005-04-05,1.2311,1.2278,1.2475,1.2278,1538178.6,977280.0,1.3719,1.1231
2005-04-06,1.2311,1.2508,1.2639,1.2148,3556651.67,2246748.0,1.3523,1.1067
2005-04-07,1.254,1.254,1.2802,1.2344,6533572.42,4074950.0,1.3752,1.1263
2005-04-08,1.254,1.254,1.254,1.254,0.0,0.0,,
2005-04-11,1.277,1.2606,1.2933,1.2573,4495047.74,2782567.0,1.3785,1.1296
2005-04-12,1.2606,1.2148,1.2606,1.2115,2953154.0,1883760.0,1.3883,1.1362
2005-04-13,1.2148,1.2573,1.2639,1.2148,3656826.78,2310125.0,1.3359,1.0936
2005-04-14,1.2704,1.2278,1.2704,1.2213,2747195.87,1742597.0,1.3817,1.1329
2005-04-15,1.2278,1.1951,1.2278,1.1951,2453206.0,1602586.0,1.3523,1.1067
2005-04-18,1.1853,1.182,1.2049,1.1722,1746594.0,1158530.0,1.3163,1.0772
2005-04-19,1.1853,1.2017,1.2115,1.182,1269102.62,835346.0,1.2999,1.0641
2005-04-20,1.2017,1.1656,1.2017,1.1624,1800832.5,1207560.0,1.3228,1.0805
2005-04-21,1.1624,1.1165,1.1787,1.11,3220653.81,2221877.0,1.2835,1.0478
2005-04-22,1.1133,1.0674,1.1165,1.015,3648485.49,2682346.0,1.2278,1.0052
2005-04-25,1.0609,1.051,1.0772,1.0248,1986177.7,1491144.0,1.1755,0.9594
2005-04-26,1.0347,1.0772,1.0838,1.0314,1433896.94,1055050.0,1.1558,0.9463
2005-04-27,1.0969,1.051,1.0969,1.0478,1274432.0,941760.0,1.1853,0.9692
2005-04-28,1.0412,1.074,1.0805,1.0314,2216394.18,1644782.0,1.1558,0.9463
2005-04-29,1.0707,1.0641,1.0871,1.0576,2867552.04,2101046.0,1.182,0.9659
2005-05-09,1.0347,0.9594,1.0609,0.9594,2705747.2,2131207.0,1.1722,0.9594
2005-05-10,0.9594,0.979,0.979,0.9135,2906386.27,2424127.0,1.0543,0.8644
2005-05-11,0.9856,0.9594,0.9954,0.9528,2080985.42,1681166.0,1.0772,0.8808
2005-05-12,0.9561,0.9594,0.9757,0.9397,1494335.65,1225447.0,1.0543,0.8644
2005-05-13,0.9594,0.9561,0.9757,0.9364,1599223.82,1319736.0,1.0543,0.8644
2005-05-16,0.9561,0.9725,0.9757,0.9201,1643679.86,1346030.0,1.051,0.8611
2005-05-17,0.9659,0.9888,0.9954,0.9561,2189124.98,1746031.0,1.0707,0.8742
2005-05-18,0.9987,0.9921,0.9987,0.9692,2098403.88,1671706.0,1.0871,0.8906
2005-05-19,0.9987,1.0052,1.015,0.979,3067071.05,2421650.0,1.0903,0.8939
2005-05-20,1.0052,1.0248,1.0314,0.9921,4648568.32,3598291.0,1.1067,0.9037
2005-05-23,1.0248,1.0478,1.0674,1.0248,16352044.32,12279509.0,1.1263,0.9233
2005-05-24,1.0412,1.0478,1.0543,1.0216,4719432.26,3576924.0,1.1525,0.943
2005-05-25,1.0445,1.0314,1.0445,1.0248,2647126.66,2012566.0,1.1525,0.943
2005-05-26,1.0314,1.015,1.0379,1.0117,1981474.37,1526398.0,1.1362,0.9299
2005-05-27,1.0019,0.9921,1.0314,0.9856,2469673.94,1940906.0,1.1165,0.9135
2005-05-30,0.9888,1.015,1.0216,0.9856,2168796.94,1692869.0,1.0903,0.8939
2005-05-31,1.015,1.0019,1.0216,0.9954,1375533.64,1070885.0,1.1165,0.9135
2005-06-01,1.0019,0.9856,1.0085,0.9856,1521261.62,1208765.0,1.1034,0.9004
2005-06-02,0.9823,0.9659,0.9888,0.9528,2105760.5,1708152.0,1.0838,0.8873
2005-06-03,0.9692,1.0225,1.0425,0.9692,4811316.85,3815959.0,1.0625,0.8693
2005-06-06,1.0059,1.0225,1.0292,0.9859,2743704.1,2170464.0,1.1258,0.9193
2005-06-07,1.0259,1.0225,1.0558,1.0159,2588773.26,2003328.0,1.1258,0.9193
2005-06-08,1.0225,1.0891,1.1025,1.0159,7958965.23,5942570.0,1.1258,0.9193
2005-06-09,1.0958,1.0792,1.0991,1.0658,7048017.57,5203680.0,1.1991,0.9792
2005-06-10,1.0792,1.0692,1.0858,1.0392,4665387.92,3504014.0,1.1857,0.9726
2005-06-13,1.0658,1.0958,1.0991,1.0525,4513410.68,3355764.0,1.1757,0.9626
2005-06-14,1.1058,1.0792,1.1291,1.0758,9148985.52,6595920.0,1.2057,0.9859
2005-06-15,1.0592,1.0359,1.0758,1.0359,2977212.1,2269680.0,1.1857,0.9726
2005-06-16,1.0525,1.0492,1.0525,1.0225,1948285.93,1502040.0,1.1391,0.9326
2005-06-17,1.0525,1.0392,1.0625,1.0292,1603389.61,1234152.0,1.1558,0.9459
2005-06-20,1.0359,1.0625,1.0625,1.0259,1901149.55,1451918.0,1.1424,0.9359
2005-06-21,1.0592,1.0558,1.0658,1.0492,1428373.2,1082976.0,1.1691,0.9559
2005-06-22,1.0558,1.0558,1.0625,1.0458,1585376.62,1203269.0,1.1624,0.9493
2005-06-23,1.0558,1.0425,1.0558,1.0359,1479653.0,1128120.0,1.1624,0.9493
2005-06-24,1.0359,1.0625,1.0658,1.0359,2348447.95,1780512.0,1.1458,0.9393
2005-06-27,1.0758,1.0792,1.0858,1.0658,4916475.79,3646764.0,1.1691,0.9559
2005-06-28,1.0692,1.0592,1.0758,1.0492,3583424.0,2712000.0,1.1857,0.9726
2005-06-29,1.0592,1.0592,1.0692,1.0492,2004297.02,1508998.0,1.1658,0.9526
2005-06-30,1.0592,1.0592,1.0592,1.0592,0.0,0.0,,
2005-07-01,1.0259,0.9526,1.0259,0.9526,5136890.45,4211009.0,1.1658,0.9526
2005-07-04,0.9293,0.9159,0.9526,0.8926,2548519.0,2197296.0,1.0492,0.856
2005-07-05,0.9226,0.9093,0.9259,0.8926,1089130.0,955440.0,1.0092,0.826
2005-07-06,0.9293,0.9093,0.9293,0.8993,910864.12,802718.0,0.9992,0.8194
2005-07-07,0.906,0.9226,0.9359,0.906,944652.52,818028.0,0.9992,0.8194
2005-07-08,0.9193,0.8693,0.9193,0.8527,1849397.84,1690114.0,1.0159,0.8293
2005-07-11,0.866,0.8527,0.8993,0.846,1351536.85,1235868.0,0.9559,0.7827
2005-07-12,0.8726,0.906,0.906,0.8493,2121499.75,1926470.0,0.9393,0.7661
2005-07-13,0.9126,0.8993,0.9159,0.8893,3743580.57,3315590.0,0.9959,0.816
2005-07-14,0.9592,0.9493,0.9892,0.9493,12477130.58,10244609.0,0.9892,0.8094
2005-07-15,0.9326,0.9359,0.9526,0.9159,5625427.09,4828987.0,1.0458,0.856
2005-07-18,0.9393,0.9359,0.9393,0.9159,1961130.54,1687166.0,1.0292,0.8427
2005-07-19,0.9359,0.9393,0.9459,0.9159,1946193.24,1664256.0,1.0292,0.8427
2005-07-20,0.9393,0.9426,0.9526,0.9293,1730503.43,1470710.0,1.0325,0.846
2005-07-21,0.9359,0.9159,0.9393,0.906,1793043.29,1556033.0,1.0359,0.8493
2005-07-22,0.9226,0.9426,0.9559,0.9226,3914553.96,3324334.0,1.0092,0.826
2005-07-25,0.9493,0.9359,0.9493,0.9293,1515789.2,1293238.0,1.0359,0.8493
2005-07-26,0.9326,0.9759,0.9826,0.9326,5744654.66,4763630.0,1.0292,0.8427
2005-07-27,0.9759,0.9892,0.9926,0.9659,4312721.6,3520378.0,1.0725,0.8793
2005-07-28,0.9892,0.9959,1.0292,0.9826,8258317.16,6551926.0,1.0891,0.8893
2005-07-29,0.9926,1.0059,1.0225,0.9859,4503208.3,3560556.0,1.0958,0.896
2005-08-01,1.0059,1.0359,1.0525,1.0059,8013198.6,6167388.0,1.1058,0.906
2005-08-02,1.0359,1.0425,1.0425,1.0192,3088481.48,2386848.0,1.1391,0.9326
2005-08-03,1.0425,1.0592,1.0792,1.0392,8439731.46,6364234.0,1.1458,0.9393
2005-08-04,1.0525,1.0792,1.0958,1.0492,9323808.96,6902537.0,1.1658,0.9526
2005-08-05,1.0792,1.1058,1.1091,1.0625,8381218.87,6105799.0,1.1857,0.9726
2005-08-08,1.1158,1.1491,1.2124,1.1158,15884018.95,11035790.0,1.2157,0.9959
2005-08-09,1.1491,1.1524,1.1624,1.1225,8663627.94,6055392.0,1.2657,1.0359
2005-08-10,1.1591,1.2457,1.269,1.1424,26758248.44,17466842.0,1.269,1.0359
2005-08-11,1.2324,1.2457,1.2657,1.2091,16229529.25,10516476.0,1.3689,1.1225
2005-08-12,1.229,1.1658,1.2324,1.1458,19383410.53,13078406.0,1.3689,1.1225
