,open,close,high,low,total_turnover,volume,limit_up,limit_down
2011-08-12,5.4332,5.1253,5.6433,5.071,1689744206.0,289796935.0,,
2011-08-15,5.0493,5.0964,5.2811,4.9261,719705105.0,128140682.0,5.6397,4.6146
2011-08-16,5.0239,5.2521,5.5709,5.0203,1040422507.0,178076062.0,5.6071,4.5856
2011-08-17,5.1905,5.1724,5.2739,5.0964,546068704.0,95490915.0,5.7773,4.7269
2011-08-18,5.3101,5.263,5.4151,5.205,711113250.0,121193548.0,5.6904,4.6545
2011-08-19,5.1072,4.8356,5.1905,4.7378,598104165.0,109609235.0,5.7882,4.7378
2011-08-22,4.7631,4.7233,4.8827,4.6508,349605339.0,66561420.0,5.3209,4.3538
2011-08-23,4.6581,4.7921,4.7994,4.5023,458418226.0,89265068.0,5.1942,4.2524
2011-08-24,4.7921,4.7016,4.8537,4.6798,325964075.0,61938888.0,5.2702,4.314
2011-08-25,4.745,4.9298,5.0312,4.7124,528468907.0,97954798.0,5.1724,4.2307
2011-08-26,4.8501,4.8609,4.908,4.7812,329947963.0,61675215.0,5.4224,4.4371
2011-08-29,4.8175,4.8827,4.9406,4.7197,286827079.0,53512308.0,5.3463,4.3756
2011-08-30,4.8935,4.7016,4.9225,4.6798,271824531.0,51200550.0,5.3717,4.3937
2011-08-31,4.6726,4.6001,4.7197,4.5675,172548777.0,33753998.0,5.1724,4.2307
2011-09-01,4.6255,4.5349,4.6472,4.419,185580738.0,37061042.0,5.0601,4.1401
2011-09-02,4.4806,4.4842,4.5277,4.419,97950632.0,19793208.0,4.9877,4.0822
2011-09-05,4.4842,4.18,4.4842,4.1655,131358906.0,27593605.0,4.9334,4.0351
2011-09-06,4.0677,3.988,4.1655,3.9155,128299810.0,28626080.0,4.5965,3.7634
2011-09-07,3.988,3.988,3.988,3.988,0.0,0.0,,
2011-09-08,4.1293,4.0677,4.1836,4.0206,164147465.0,36124972.0,4.3864,3.5896
2011-09-09,4.0242,4.0242,4.1329,3.9264,100356745.0,22505472.0,4.4734,3.662
2011-09-13,3.9264,4.1003,4.1075,3.8648,100694059.0,22907755.0,4.4263,3.6222
2011-09-14,4.0785,4.1003,4.1111,3.9264,94755808.0,21203188.0,4.5096,3.691
2011-09-15,4.1293,4.0459,4.1437,4.0387,86730032.0,19176668.0,4.5096,3.691
2011-09-16,4.1111,3.9699,4.1401,3.9554,72429416.0,16207308.0,4.4516,3.6403
2011-09-19,3.8829,3.7852,3.93,3.7743,86037179.0,20287275.0,4.3683,3.5714
2011-09-20,3.7344,3.8141,3.8286,3.6982,67023862.0,16110388.0,4.1655,3.4084
2011-09-21,3.7779,3.9626,4.0423,3.7453,128717227.0,29765605.0,4.1945,3.4338
2011-09-22,3.9155,3.7562,3.9626,3.7417,87829516.0,20645175.0,4.3575,3.5678
2011-09-23,3.6403,3.7055,3.7526,3.6366,62257002.0,15289858.0,4.1329,3.3795
2011-09-26,3.6874,3.6837,3.7888,3.6584,52563179.0,12806580.0,4.0749,3.336
2011-09-27,3.7236,3.662,3.7526,3.6077,55872568.0,13787578.0,4.0532,3.3143
2011-09-28,3.767,3.6765,3.8286,3.6439,67252557.0,16317598.0,4.0278,3.2962
2011-09-29,3.5859,3.4773,3.6366,3.4628,62491615.0,15983140.0,4.0459,3.3106
2011-09-30,3.4773,3.4447,3.5316,3.3976,39073528.0,10246700.0,3.825,3.1295
2011-10-10,3.4845,3.4374,3.5026,3.4084,31101149.0,8158010.0,3.7888,3.1006
2011-10-11,3.5533,3.4881,3.6004,3.441,75013013.0,19279945.0,3.7815,3.0933
2011-10-12,3.4592,3.6403,3.691,3.4266,102600837.0,25857748.0,3.8359,3.1404
2011-10-13,3.6403,3.6692,3.6765,3.604,86346174.0,21431882.0,4.0061,3.278
2011-10-14,3.6584,3.691,3.7526,3.6222,89378099.0,21950168.0,4.0351,3.3034
2011-10-17,3.691,3.7236,3.7308,3.6511,81625681.0,19975738.0,4.0604,3.3215
2011-10-18,3.6837,3.6113,3.6982,3.5678,74521190.0,18629092.0,4.0967,3.3505
2011-10-19,3.5533,3.7018,3.7163,3.5497,75643828.0,18778780.0,3.9735,3.2491
2011-10-20,3.6765,3.6874,3.7091,3.5968,79166592.0,19671545.0,4.0713,3.3324
2011-10-21,3.691,3.7888,3.8902,3.6584,211163021.0,50531930.0,4.0568,3.3179
2011-10-24,3.7236,3.9228,3.9409,3.6584,231491239.0,54821132.0,4.1691,3.4084
2011-10-25,3.8757,3.9228,4.0025,3.8214,203752046.0,47277715.0,4.314,3.5316
2011-10-26,3.8757,3.8033,3.9228,3.7888,158648139.0,37310390.0,4.314,3.5316
2011-10-27,3.7996,3.8105,3.9337,3.7852,119887387.0,28168925.0,4.1836,3.4229
2011-10-28,3.8685,3.825,3.8866,3.7562,128960153.0,30634308.0,4.1908,3.4302
2011-10-31,3.8105,3.9373,3.9481,3.7598,141392788.0,33012740.0,4.2089,3.441
2011-11-01,3.8938,3.9228,3.959,3.8286,120369934.0,27977235.0,4.3321,3.5425
2011-11-02,3.8214,4.0133,4.0459,3.796,152353110.0,35075485.0,4.314,3.5316
2011-11-03,4.0568,4.017,4.151,3.9663,211742441.0,47403268.0,4.4154,3.6113
2011-11-04,4.0097,3.9445,4.0677,3.9228,120053327.0,27371450.0,4.419,3.6149
2011-11-07,3.93,3.9192,3.9735,3.8721,71614524.0,16556405.0,4.3393,3.5497
2011-11-08,3.9192,3.8503,3.9481,3.8395,62252966.0,14457565.0,4.3104,3.528
2011-11-09,3.8395,3.9083,3.9119,3.7779,73720181.0,17302715.0,4.2343,3.4664
2011-11-10,3.8576,3.6982,3.8757,3.691,91479020.0,21831645.0,4.2995,3.5171
2011-11-11,3.6874,3.6837,3.7344,3.6511,75077771.0,18420902.0,4.0677,3.3288
2011-11-14,3.6656,3.767,3.7707,3.6403,186991792.0,45679832.0,4.0532,3.3143
2011-11-15,3.7381,3.8069,3.8322,3.7163,119062168.0,28519972.0,4.1437,3.3903
2011-11-16,3.8069,3.633,3.8214,3.6294,105281604.0,25739120.0,4.1872,3.4266
2011-11-17,3.633,3.6801,3.6874,3.5171,132099937.0,33109620.0,3.9952,3.2708
2011-11-18,3.6294,3.6258,3.6946,3.6004,99463009.0,24739568.0,4.0496,3.3106
2011-11-21,3.6294,3.6548,3.691,3.5135,108202282.0,27317555.0,3.988,3.2636
2011-11-22,3.6185,3.854,3.9011,3.5859,376240349.0,89835908.0,4.0206,3.2889
2011-11-23,3.8033,3.9083,3.9771,3.7852,396613473.0,92209350.0,4.2379,3.47
2011-11-24,3.8685,3.9518,4.0423,3.825,352781640.0,80753930.0,4.2995,3.5171
2011-11-25,3.9481,3.796,4.0097,3.7924,234698854.0,54894250.0,4.3466,3.557
2011-11-28,3.7598,3.7562,3.8395,3.6982,144936079.0,34944780.0,4.1763,3.4157
2011-11-29,3.8069,4.0496,4.1256,3.7236,392837619.0,89667352.0,4.1329,3.3795
2011-11-30,4.0387,3.9518,4.0387,3.8141,332994258.0,76642512.0,4.4552,3.6439
2011-12-01,4.0822,4.0061,4.1293,3.9554,384632644.0,85877102.0,4.3466,3.557
2011-12-02,3.9844,3.6946,4.0133,3.6692,217865397.0,51147318.0,4.4082,3.604
2011-12-05,3.6946,3.6946,3.6946,3.6946,0.0,0.0,,
2011-12-06,3.4773,3.3251,3.5026,3.3251,202074420.0,54426528.0,4.0641,3.3251
2011-12-07,3.278,3.2527,3.3432,3.2129,113690500.0,31555188.0,3.6584,2.9919
2011-12-08,3.2346,3.2817,3.3106,3.1332,115396106.0,32442340.0,3.5787,2.9267
2011-12-09,3.231,3.202,3.278,3.1694,68258650.0,19186800.0,3.6113,2.9521
2011-12-12,3.2092,3.0535,3.2201,3.0462,62147395.0,18000958.0,3.5207,2.8832
2011-12-13,3.0245,2.9303,3.039,2.905,71409685.0,21937252.0,3.3577,2.7492
2011-12-14,2.905,2.8579,2.9593,2.8361,43523198.0,13565412.0,3.2237,2.6369
2011-12-15,2.8217,2.8072,2.8543,2.7709,59344774.0,19080670.0,3.144,2.5717
2011-12-16,2.818,2.9158,2.9231,2.7963,64091921.0,20295992.0,3.0897,2.5283
2011-12-19,2.8941,2.9303,2.9376,2.8217,52695323.0,16578805.0,3.2092,2.6261
2011-12-20,2.9955,3.0028,3.1911,2.9919,127047484.0,37347892.0,3.2237,2.6369
2011-12-21,2.9883,2.8361,3.0354,2.8144,65360280.0,20039792.0,3.3034,2.7021
2011-12-22,2.7709,2.6768,2.7818,2.5572,80298782.0,27222505.0,3.1187,2.5536
2011-12-23,2.6442,2.6949,2.7456,2.6261,49165653.0,16528445.0,2.9448,2.4087
2011-12-26,2.6876,2.6731,2.742,2.6623,31239648.0,10461928.0,2.9629,2.4268
2011-12-27,2.6442,2.521,2.6768,2.5174,41795381.0,14627375.0,2.9412,2.4051
2011-12-28,2.4993,2.5065,2.5246,2.4051,45841086.0,16885615.0,2.7746,2.2675
2011-12-29,2.4812,2.4848,2.5609,2.4594,39211938.0,14153755.0,2.7565,2.2566
2011-12-30,2.4993,2.5391,2.5536,2.4957,31626301.0,11326525.0,2.7347,2.2349
2012-01-04,2.5717,2.4196,2.5862,2.4087,33267980.0,11986608.0,2.7927,2.2856
2012-01-05,2.3761,2.3327,2.3979,2.282,38979133.0,15045475.0,2.6623,2.1769
2012-01-06,2.3109,2.4015,2.4124,2.3109,32686897.0,12518675.0,2.5645,2.1008
2012-01-09,2.4305,2.5464,2.5645,2.3942,53992276.0,19532030.0,2.6406,2.1624
2012-01-10,2.5536,2.6587,2.7021,2.5355,79407958.0,27446660.0,2.7999,2.2928
2012-01-11,2.6587,2.6297,2.6985,2.6007,52710387.0,18041240.0,2.9231,2.3942
2012-01-12,2.6116,2.6188,2.6804,2.5971,36301539.0,12492015.0,2.8941,2.3653
2012-01-13,2.6369,2.445,2.6406,2.4305,50054671.0,17938928.0,2.8796,2.358
2012-01-16,2.3979,2.3798,2.4812,2.3689,23868707.0,8945578.0,2.6913,2.2023
2012-01-17,2.387,2.5609,2.5754,2.3761,41585784.0,15129340.0,2.6188,2.1407
2012-01-18,2.5645,2.4957,2.6116,2.4812,41446563.0,14667618.0,2.818,2.3037
2012-01-19,2.4957,2.5391,2.5898,2.4848,28634437.0,10216090.0,2.7456,2.2457
2012-01-20,2.55,2.579,2.5862,2.5246,31338879.0,11096335.0,2.7927,2.2856
2012-01-30,2.6007,2.5572,2.6007,2.5464,25765512.0,9078105.0,2.8361,2.3218
2012-01-31,2.5464,2.5246,2.5609,2.4884,20417093.0,7351608.0,2.8144,2.3001
2012-02-01,2.5246,2.4993,2.5464,2.4812,18426977.0,6635170.0,2.7782,2.2711
2012-02-02,2.5174,2.5536,2.5536,2.4848,28870494.0,10366628.0,2.7492,2.2494
2012-02-03,2.5536,2.6297,2.6587,2.5283,59323605.0,20603662.0,2.8108,2.3001
2012-02-06,2.6224,2.6949,2.6985,2.6116,72741883.0,24705132.0,2.8941,2.3653
2012-02-07,2.6478,2.5898,2.6695,2.5717,46982040.0,16287545.0,2.9629,2.4268
2012-02-08,2.5935,2.6587,2.6695,2.5645,55422237.0,19086290.0,2.8506,2.3327
2012-02-09,2.6659,2.655,2.713,2.6406,70383957.0,23752000.0,2.9231,2.3942
2012-02-10,2.655,2.655,2.655,2.655,0.0,0.0,,
2012-02-13,2.655,2.655,2.655,2.655,0.0,0.0,,
2012-02-14,2.7456,2.7166,2.8977,2.7094,152634795.0,49857918.0,2.9195,2.3906
2012-02-15,2.6913,2.9883,2.9883,2.6804,207665594.0,65289902.0,2.9883,2.445
2012-02-16,3.0426,3.068,3.1694,2.9557,309826427.0,92242358.0,3.2889,2.6913
2012-02-17,3.0136,2.9955,3.039,2.9557,132966980.0,40231772.0,3.3758,2.7601
2012-02-20,3.0281,3.0209,3.0643,2.9738,128149411.0,38449595.0,3.2962,2.6949
2012-02-21,3.01,3.0245,3.0281,2.9158,96968100.0,29452278.0,3.3215,2.7202
2012-02-22,3.0064,3.0535,3.0607,2.9774,124693131.0,37301380.0,3.3288,2.7239
2012-02-23,3.0317,3.0933,3.1477,3.0317,153484196.0,45097840.0,3.3577,2.7492
2012-02-24,3.1078,3.1006,3.1223,3.0209,136002922.0,40044138.0,3.4012,2.7854
2012-02-27,3.1078,3.0607,3.1694,3.0571,138493709.0,40203795.0,3.4121,2.7891
2012-02-28,3.0499,3.039,3.0752,2.9883,94143287.0,28108318.0,3.3686,2.7528
2012-02-29,3.0245,3.1151,3.1766,3.0064,143507987.0,41695105.0,3.3432,2.7347
2012-03-01,3.0861,3.202,3.3215,3.0825,228788766.0,64478668.0,3.4266,2.8035
2012-03-02,3.2129,3.2672,3.2925,3.173,145092925.0,40659500.0,3.5207,2.8832
2012-03-05,3.2962,3.1513,3.3143,3.1477,177255471.0,49958268.0,3.5932,2.9412
2012-03-06,3.1368,3.4229,3.4664,3.0861,318742053.0,87225568.0,3.4664,2.8361
2012-03-07,3.3324,3.2563,3.4157,3.2273,259276295.0,71342265.0,3.767,3.0788
2012-03-08,3.2599,3.2708,3.3179,3.1984,129351487.0,35915365.0,3.5823,2.9303
2012-03-09,3.2672,3.278,3.2817,3.2346,75557442.0,21003315.0,3.5968,2.9448
2012-03-12,3.2708,3.2418,3.2998,3.2092,68223194.0,19001062.0,3.6077,2.9521
2012-03-13,3.231,3.3686,3.4012,3.2165,212579324.0,57834522.0,3.5678,2.9195
2012-03-14,3.3686,3.2237,3.4266,3.1151,175476208.0,48134000.0,3.7055,3.0317
2012-03-15,3.2056,3.1404,3.2455,3.0462,84945388.0,24419568.0,3.5461,2.9013
2012-03-16,3.1404,3.2237,3.2273,3.0933,73057028.0,20783895.0,3.4555,2.8253
2012-03-19,3.2237,3.2346,3.2491,3.1694,52425706.0,14776005.0,3.5461,2.9013
2012-03-20,3.2346,3.0825,3.2455,3.0825,55023733.0,15839462.0,3.557,2.9122
2012-03-21,3.1151,3.1477,3.1694,3.0317,55422829.0,16182125.0,3.3903,2.7746
2012-03-22,3.1404,3.0825,3.1404,3.0643,28310192.0,8278040.0,3.4628,2.8325
2012-03-23,3.0607,2.9919,3.0861,2.9847,34542734.0,10338438.0,3.3903,2.7746
2012-03-26,2.9883,2.9122,2.9991,2.8832,33553356.0,10374690.0,3.2925,2.6913
2012-03-27,2.9339,2.905,2.9774,2.9013,25829816.0,7962342.0,3.202,2.6224
2012-03-28,2.9013,2.8035,2.9122,2.7347,41057551.0,13204415.0,3.1947,2.6152
2012-03-29,2.7709,2.7637,2.8072,2.6659,40587855.0,13395762.0,3.0825,2.5246
2012-03-30,2.7854,2.7746,2.8253,2.7239,27813693.0,9060230.0,3.039,2.4884
2012-04-05,2.7854,2.8941,2.8977,2.7601,41471260.0,13158898.0,3.0535,2.4957
2012-04-06,2.905,2.8724,2.9122,2.8615,26016501.0,8174192.0,3.1839,2.6043
2012-04-09,2.8724,2.8543,2.9339,2.8506,28129899.0,8802208.0,3.1585,2.5862
2012-04-10,2.8325,2.9195,2.9376,2.7963,41836663.0,13188098.0,3.1404,2.5681
2012-04-11,2.8796,2.9303,2.9339,2.8687,27196716.0,8451598.0,3.2129,2.6261
2012-04-12,2.9521,2.9629,2.9702,2.9158,37917785.0,11648020.0,3.2237,2.6369
2012-04-13,2.9593,3.0136,3.0426,2.9521,42600011.0,12875610.0,3.2599,2.6659
2012-04-16,2.9774,2.9665,3.0136,2.9557,31708219.0,9645610.0,3.3143,2.713
2012-04-17,2.9847,2.9195,2.9847,2.9086,24263353.0,7493360.0,3.2636,2.6695
2012-04-18,2.9195,3.0209,3.0426,2.9122,52741232.0,16006392.0,3.2129,2.6261
2012-04-19,3.0209,3.0209,3.0209,3.0209,0.0,0.0,,
2012-04-20,3.0607,3.0752,3.1042,3.0245,64137741.0,18914188.0,3.3215,2.7202
2012-04-23,3.0535,3.1042,3.1766,3.0426,80889688.0,23475242.0,3.3831,2.7673
2012-04-24,3.1042,3.068,3.1332,2.9412,57378470.0,17046622.0,3.4157,2.7927
2012-04-25,3.0788,3.2165,3.2201,3.0173,124160891.0,35899420.0,3.3758,2.7601
2012-04-26,3.2237,3.202,3.2527,3.1513,89396996.0,25181752.0,3.5388,2.8941
2012-04-27,3.202,3.202,3.202,3.202,0.0,0.0,,
2012-05-02,3.2237,3.2346,3.2708,3.1621,80401548.0,22591582.0,3.5207,2.8832
2012-05-03,3.2092,3.144,3.2237,3.1404,61783547.0,17655672.0,3.557,2.9122
2012-05-04,3.1404,3.1766,3.1947,3.1151,67806404.0,19397832.0,3.4592,2.8289
2012-05-07,3.1513,3.231,3.2346,3.1404,58572163.0,16561755.0,3.4954,2.8579
2012-05-08,3.2382,3.202,3.2563,3.1766,48582320.0,13751455.0,3.5533,2.9086
2012-05-09,3.1766,3.0788,3.1766,3.0643,52215818.0,15210638.0,3.5207,2.8832
2012-05-10,3.0752,3.1078,3.1368,3.0752,29881058.0,8711452.0,3.3867,2.7709
2012-05-11,3.1006,3.0281,3.1259,3.0245,37713773.0,11086645.0,3.4193,2.7963
2012-05-14,3.0607,3.0281,3.0825,3.0173,37088298.0,11020208.0,3.3324,2.7239
2012-05-15,2.9738,3.0028,3.01,2.9448,27812940.0,8464248.0,3.3324,2.7239
2012-05-16,2.9919,2.9847,3.0317,2.9629,21140960.0,6395400.0,3.3034,2.7021
2012-05-17,2.9847,3.039,3.0607,2.981,23571668.0,7062945.0,3.2817,2.6876
2012-05-18,3.0173,2.9339,3.0245,2.9303,24256586.0,7348782.0,3.3432,2.7347
2012-05-21,2.9339,2.9339,2.9339,2.9339,0.0,0.0,,
2012-05-22,3.2092,3.0426,3.2129,3.0136,131867783.0,38704638.0,3.2273,2.6406
2012-05-23,2.9847,2.9738,3.0499,2.9484,56274915.0,17026822.0,3.3469,2.7383
2012-05-24,2.9521,3.0861,3.1295,2.9521,100583981.0,29650928.0,3.2708,2.6768
2012-05-25,3.0607,3.0245,3.0861,3.0028,38810346.0,11527440.0,3.394,2.7782
2012-05-28,3.0245,3.1295,3.1332,2.905,69811449.0,20828058.0,3.3288,2.7239
2012-05-29,3.1223,3.2672,3.3795,3.1114,209057347.0,57585122.0,3.441,2.818
2012-05-30,3.2599,3.2962,3.3614,3.2418,150752778.0,41340608.0,3.5932,2.9412
2012-05-31,3.2853,3.2418,3.2998,3.2273,77344267.0,21459345.0,3.6258,2.9665
2012-06-01,3.2418,3.2527,3.307,3.2201,53617419.0,14873992.0,3.5678,2.9195
2012-06-04,3.2011,3.098,3.2048,3.098,47989925.0,14027138.0,3.5769,2.9285
2012-06-05,3.098,3.0685,3.1311,3.0427,30147664.0,9020508.0,3.4074,2.7885
2012-06-06,3.0685,3.0133,3.109,2.9838,35275965.0,10677988.0,3.3743,2.7628
2012-06-07,3.0575,3.0206,3.0906,3.0022,27072259.0,8210950.0,3.3153,2.7112
2012-06-08,3.0611,3.0133,3.0943,3.0022,28757861.0,8690860.0,3.3227,2.7186
2012-06-11,3.0096,3.0354,3.0501,2.9433,50867932.0,15625000.0,3.3153,2.7112
2012-06-12,3.0169,2.9801,3.0317,2.9764,24428184.0,7507908.0,3.3374,2.7333
2012-06-13,2.9801,3.0169,3.0611,2.9027,58618492.0,18159002.0,3.2785,2.6817
2012-06-14,3.0206,3.2011,3.2637,3.0169,181616687.0,52512458.0,3.319,2.7149
2012-06-15,3.168,3.1827,3.2122,3.1127,73711649.0,21420692.0,3.5216,2.8806
2012-06-18,3.1974,3.2269,3.2637,3.1717,63314219.0,18038075.0,3.4995,2.8659
2012-06-19,3.2195,3.2122,3.2269,3.1753,30069820.0,8656720.0,3.5511,2.9027
2012-06-20,3.2048,3.1569,3.2416,3.1459,29668274.0,8563065.0,3.5327,2.8917
2012-06-21,3.1606,3.1017,3.1864,3.0796,26529010.0,7859985.0,3.4737,2.8401
2012-06-25,3.1017,3.1017,3.1017,3.1017,0.0,0.0,,
2012-06-26,3.0022,2.969,3.0169,2.9064,50153370.0,15602395.0,3.4111,2.7922
2012-06-27,2.9469,2.9433,2.9875,2.9396,17222621.0,5343712.0,3.2674,2.6707
2012-06-28,2.9764,2.8107,2.9801,2.807,35764243.0,11424678.0,3.238,2.6486
2012-06-29,2.8107,2.8806,2.9248,2.7922,46323375.0,14827810.0,3.0906,2.5307
2012-07-02,2.8991,2.9101,2.9617,2.8917,29028767.0,9155338.0,3.168,2.5933
2012-07-03,2.9359,2.9064,2.958,2.8991,25390639.0,7983960.0,3.2011,2.6191
2012-07-04,2.9064,2.9175,2.9396,2.8917,19114580.0,6042345.0,3.1974,2.6154
